3934047CAR;4,00;;PINO PISTAO 
2T2101451B;48,00;;SEDE VALVULA ESCAPAMENTO MOTOR CUMMINS ISC 8.3 ISL 8.9
BC455230BBCAR;1,00;;SILENCIOSO FORD CARGO
TJG127705;2,00;;COTOVELO
2S0145933CCAR;1,00;;CORREIA POLI V 
BG9Z6068A;1,00;;LIMITADOR
BF6X4067A;2,00;;PORCA DE AJUSTE DIFERENCIAL MERITOR  RS145 MS145 RD145 MD145 RS155 MS158 MR14X ( CASTELO )
TJG837911CAR;1,00;;GUARNICAO
BG1X401017AACAR;2,00;;PORCA FLANGE 
BF8T6026B;15,00;;BUJAO EXPANSAO BLOCO MOTOR CUMMINS ( SELO 57,20MM )
BG2X4209BA;1,00;;COROA E PINHAO 43X8 RAT 5.38 MS165 MS160 ( POSTERIOR 6X4 )
BG6X9451AA;2,00;;JUNTA CONEXAO ENTRADA AR MOTOR CUMMINS ISC 8.3 ISL8.9 
1C4510A988AAYYJCAR;1,00;;PAINEL
2S0121405DCAR;1,00;;RESERVATORIO AGUA RADIADOR
DC4613480CBCAR;8,00;;INTERRUPTOR
801009;5,00;;CRUZETA CARDAN CZ-119
42449CAR;1,00;;RETENTOR
BH8X6049AA;2,00;;CABECOTE MOTOR COMPLETO CUMMINS ISB 5.9  6CIL. ( COM TROCA )
BC4511K661AA;1,00;;CHAVE DE SETA E LIMPADOR NOVO FORD CARGO
"	TJG311333";1,00;;ROLAMENTO DUPLO  EIXO AUXILIAR CAMBIO EATON RT7608  
J2MJ3B102BA;2,00;;JUNTA ESFERIC
87TU4W038AA;1,00;;ROLAMENTO CARDAN 35MM
07439BYFCAR;3,00;;RETENTOR RODA TRAS
2Z0611441CAR;3,00;;DIAFRAGMA
BG6X5086BA;1,00;;SUPORTE DO COXIM CANOS ( MOTOR CUMMINS ISC 8.3 )
GN1G6A258AA;7,00;;CAPA MANCAL
4C116477DB;1,00;;VOLANTE MOTOR BI MASSA FORD TRANSIT MOTOR 2.4 16V
BH2X6055BA;6,00;;CAMISA MOTOR CUMMINS SERIE ISBE 4.5 4CIL. 6.7 6CIL. ( STD  INTERNO 106,30MM )
8207532018M;3,00;;COTOVELO MACHO CAMBIO EATON RT 04MM X 1/8NPT 
23B129620;5,00;;ELEMENTO DE FILTRO DE AR  NOVO DELIVERY  ( FORMATO OVAL )  AF25134 
XC459275BA;1,00;;BOIA DO TANQUE DE COMBUSTIVEL DE 275L 
4C3Z3590DACAR;1,00;;BRACO PITMAM-F250/350-1998/2000-(VISTEON)
BJ3T18045DA;2,00;;AMORTECEDOR TRAS. LD/ LE
BF6X6W400C;7,00;;JUNTA COTOVELO TURBINA FREIO MOTOR 4BT 6BT ISB
TE3103605;16,00;;PARAFUSO CARTER MOTOR CUMMINS 4BTAA 6BTAA 6CTAA ISC M8X1.25X25MM
BH1X12C650AA;4,00;;BUJAO ROSCADO
BG5X6650AA;1,00;;JUNTA BORRACHA UNIDADE COMANDO  MODULO CUMMINS ISBE
F81Z1125BA;6,00;;DISCO FREIO DIANTEIROFORD F4000 ( VENTILADO )
F81Z1125CA;6,00;;DISCO DE FREIO DIANTEIRO FORD F250 4X4 F4000 ANO 1998...
BH2X6055BA;12,00;;CAMISA MOTOR CUMMINS  ISB 4.5 EURO V  ISB 6.7 EURO V  ( STD ) 107MM 
BF5X4320A;4,00;;PORCA PINHAO EIXO DE ENTRADA DIFERENCIAL MERITOR MS160 MS168 RS160 MD168 
2S7Q/   6C683/AA/;12,00;;FILTRO OLEO
6C1117683BJYGACAR;1,00;;ESPELHO LE
BF8T390859A;10,00;;PRISIONEIRO FIXA TURBO COMPRESOR MOTOR CUMMINS 6CTAA 8.3 
104502BR-2;1,00;;KIT EMBREAGEM 330MM 
2S653063AB;8,00;;BUCHA ISOLADO
